title,author,isbn,categoryName,price,stock,language,ribbon,description,publisher,coverImage,sortOrder
The Quran; Translation & Study -Juz 5,Jamal-Un-Nisa Bint Rafai,9781842000083,Quran,50,8,English,,Holy Quran,TA HA PUBLISHERS LTD,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413565/rewaya_books/ytrhujzlfqipbyq6xy85.webp,0
The Quran 14x20 Meaning & Note (HB),Saheeh International,1122000502014,Quran,70,200,English,,Holy Quran,DAR AL RESALAH BOOKS TRADING,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413561/rewaya_books/eoupabaenfkcisubgbve.webp,1
The Qura'n In Plain English,Iman Torres - Al Haneef,9780860372332,Quran,60,15,English,,Holy Quran,KUBE PUBLISHING,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413563/rewaya_books/xt8spvgyaf0cs8yjmvxv.webp,2
The Glorious Quran,Abdul Majid Darya badi,9780860373605,Quran,160,50,English,,Holy Quran,KUBE PUBLISHING,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413564/rewaya_books/qbbbqopb4rpqemgnq8pz.webp,3
Holy Quran White Paper (14x20),Dar Al Resalah,9786333569070,Quran,36,7,Arabic,,Holy Quran,DAR AL RESALAH BOOKS TRADING,https://via.placeholder.com/400x600?text=Holy%20Quran%20White%20Paper%20(14x20),4
Holy Quran 17x24 Urdu,Dar Al Resalah,9786333569568,Quran,50,35,Urdu,,Holy Quran,DAR AL RESALAH BOOKS TRADING,https://via.placeholder.com/400x600?text=Holy%20Quran%2017x24%20Urdu,5
Holy Quran 14x20 Urdu,Dar Al Resalah,9786333569667,Quran,40,12,Urdu,,Holy Quran,DAR AL RESALAH BOOKS TRADING L.L.C,https://via.placeholder.com/400x600?text=Holy%20Quran%2014x20%20Urdu,6
Holy Quran PU Cover 14x20 Arabic (Premium),Dar Al Resalah,9786333570243,Quran,60,12,Arabic,,Holy Quran,GOOD WORD BOOKS,https://via.placeholder.com/400x600?text=Holy%20Quran%20PU%20Cover%2014x20%20Arabic%20(Premium),7
Holy Quran PU Cover 17x24  Arabic(PUGW),Masar Printing,9786333570250,Quran,90,29,Arabic,,Holy Quran,GOOD WORD BOOKS,https://via.placeholder.com/400x600?text=Holy%20Quran%20PU%20Cover%2017x24%20%20Arabic(PUGW),8
The Quran Pocket Size 9786333571080,Maulana Wahiduddin Khan,9788178986531,Quran,25,222,English,,Holy Quran,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413566/rewaya_books/ue4iwypw1qmm84jqtwae.webp,9
