handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
Product_5556,Product,The Quran 14x20 Meaning & Note (HB),Holy Quran,52b5c8_29991f67fb52430f8ffe1a4f53bfadac~mv2.jpg,Quran,1122000502014,,70.0,,true,PERCENT,0.0,200,,,,,,,,,,,,,,,,,,,,,Publisher,DAR AL RESALAH BOOKS TRADING,Author,Saheeh International,Language,English,,,,,,,,,,,,,
Product_5557,Product,The Qura'n In Plain English,Holy Quran,52b5c8_e9ca23194c494689a499d49dcfd9991e~mv2.jpg,Quran,9780860372332,,60.0,,true,PERCENT,0.0,15,,,,,,,,,,,,,,,,,,,,,Publisher,KUBE PUBLISHING,Author,Iman Torres - Al Haneef,Language,English,,,,,,,,,,,,,
Product_5558,Product,The Glorious Quran,Holy Quran,52b5c8_45ea1b7dff02431ca6088fc68b007dfc~mv2.jpg,Quran,9780860373605,,160.0,,true,PERCENT,0.0,50,,,,,,,,,,,,,,,,,,,,,Publisher,KUBE PUBLISHING,Author,Abdul Majid Darya badi,Language,English,,,,,,,,,,,,,
Product_5559,Product,The Quran; Translation & Study -Juz 5,Holy Quran,52b5c8_ec4b280ca5da44838042f4c22691f53c~mv2.jpg,Quran,9781842000083,,50.0,,true,PERCENT,0.0,8,,,,,,,,,,,,,,,,,,,,,Publisher,TA HA PUBLISHERS LTD,Author,Jamal-Un-Nisa Bint Rafai,Language,English,,,,,,,,,,,,,
Product_5560,Product,Holy Quran White Paper (14x20),Holy Quran,,Quran,9786333569070,,36.0,,true,PERCENT,0.0,7,,,,,,,,,,,,,,,,,,,,,Publisher,DAR AL RESALAH BOOKS TRADING,Author,Dar Al Resalah,Language,Arabic,,,,,,,,,,,,,
Product_5561,Product,Holy Quran 17x24 Urdu,Holy Quran,,Quran,9786333569568,,50.0,,true,PERCENT,0.0,35,,,,,,,,,,,,,,,,,,,,,Publisher,DAR AL RESALAH BOOKS TRADING,Author,Dar Al Resalah,Language,Urdu,,,,,,,,,,,,,
Product_5562,Product,Holy Quran 14x20 Urdu,Holy Quran,,Quran,9786333569667,,40.0,,true,PERCENT,0.0,12,,,,,,,,,,,,,,,,,,,,,Publisher,DAR AL RESALAH BOOKS TRADING L.L.C,Author,Dar Al Resalah,Language,Urdu,,,,,,,,,,,,,
Product_5563,Product,Holy Quran PU Cover 14x20 Arabic (Premium),Holy Quran,,Quran,9786333570243,,60.0,,true,PERCENT,0.0,12,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Dar Al Resalah,Language,Arabic,,,,,,,,,,,,,
Product_5564,Product,Holy Quran PU Cover 17x24  Arabic(PUGW),Holy Quran,,Quran,9786333570250,,90.0,,true,PERCENT,0.0,29,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Masar Printing,Language,Arabic,,,,,,,,,,,,,
Product_5565,Product,The Quran Pocket Size 9786333571080,Holy Quran,f18b65_4462fee0e1564a8b8c6b3540504233ca~mv2.jpg,Quran,9788178986531,,25.0,,true,PERCENT,0.0,222,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Maulana Wahiduddin Khan,Language,English,,,,,,,,,,,,,
Product_5566,Product,"The Quran Transation , Commentry",Holy Quran,52b5c8_e3d18c6abe3642d8b69bb02a0b9e3df1~mv2.jpg,Quran,9788178987460,,80.0,,true,PERCENT,0.0,131,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Maulana Wahiduddin Khan,Language,English,,,,,,,,,,,,,
Product_5567,Product,The Qur'an (English)-Wahiduddin Khan,Holy Quran,f18b65_c5e3cb8e2386467aa1ab005ba0ee8c6a~mv2.jpg,Quran,9788178989983,,30.0,,true,PERCENT,0.0,379,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Wahiduddin Khan,Language,English,,,,,,,,,,,,,
Product_5568,Product,The Quran (Spanish),Holy Quran,52b5c8_7b9d3d2f9ee94e528aa9eabb071cbdb8~mv2.avif,Quran,9789351790709,,25.0,,true,PERCENT,0.0,32,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Julio Cortes,Language,Spanish,,,,,,,,,,,,,
Product_5569,Product,The Quran (French),Holy Quran,52b5c8_5d9cc390c8424abe9942cb35c8b123ee~mv2.avif,Quran,9789351790723,,25.0,,true,PERCENT,0.0,7,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Moulana Wahiduddin Khan,Language,French,,,,,,,,,,,,,
Product_5570,Product,The Quran (Marathi),Holy Quran,f18b65_9d3a2786c8ec46888906d31335b92bee~mv2.jpg,Quran,9789351790761,,20.0,,true,PERCENT,0.0,24,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Maulana Wahiduddin Khan,Language,Marathi,,,,,,,,,,,,,
Product_5571,Product,The Quran ( Portuguese),Holy Quran,f18b65_6d30369048654b2e9c7460f28051583e~mv2.jpg,Quran,9789351791485,,25.0,,true,PERCENT,0.0,24,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Alcorao Sagrado,Language,Portuguese,,,,,,,,,,,,,
Product_5572,Product,The Holy Quraan - Text & Transalation,Holy Quran,52b5c8_7a6bd911e97d49d29b154f87617de66d~mv2.jpg,Quran,9789839154849,,96.0,,true,PERCENT,0.0,7,,,,,,,,,,,,,,,,,,,,,Publisher,THE OTHER PRESS .SDN.BHD,Author,Abdulla Yousef Ali,Language,English,,,,,,,,,,,,,
Product_5573,Product,The Quran German,Holy Quran,f18b65_3324ea27939b4c3db96f24b466a57771~mv2.jpg,Quran,9788178987958,,25.0,,true,PERCENT,0.0,8,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Maulana Wahiduddin Khan,Language,German,,,,,,,,,,,,,
Product_5574,Product,The Quran (Chinese),Holy Quran,52b5c8_17c1c087fabc491f90817bf9996501dd~mv2.jpg,Quran,9789351790648,,25.0,,true,PERCENT,0.0,17,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Maulana Wahiduddin Khan,Language,Chinese,,,,,,,,,,,,,
Product_5575,Product,The Quran Juz 4,Holy Quran,52b5c8_df101f7aa4004c778a8d6a506414875b~mv2.jpg,Quran,9780907461869,,50.0,,true,PERCENT,0.0,12,,,,,,,,,,,,,,,,,,,,,Publisher,TA HA PUBLISHERS LTD,Author,Jamal Un Nisa Bint Rafai,Language,English,,,,,,,,,,,,,
Product_5576,Product,The Quran (Pocket Urdu),Holy Quran,52b5c8_6a3e7e66ea6345e0bc67928e48d1d741~mv2.jpg,Quran,9788178987293,,25.0,,true,PERCENT,0.0,35,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Moulana Wahiduddin Khan,Language,Urdu,,,,,,,,,,,,,
Product_5577,Product,Surat Yaseen,Holy Quran,52b5c8_610bffae626a405189b333c24c355597~mv2.jpg,Quran,9788172319595,,20.0,,true,PERCENT,0.0,279,,,,,,,,,,,,,,,,,,,,,Publisher,IBS BOOK STORE PRIVATE LIMITED,Author,Islamic Book Service,Language,Urdu,,,,,,,,,,,,,
Product_5578,Product,The Holy Quran Colour Coded Tajweed Rules (Ref.347),Holy Quran,52b5c8_4462d724d69248f389c7d85631404bbb~mv2.jpg,Quran,9789351690948,,55.0,,true,PERCENT,0.0,27,,,,,,,,,,,,,,,,,,,,,Publisher,IBS BOOK STORE PRIVATE LIMITED,Author,Islamic Book Service,Language,Arabic/English,,,,,,,,,,,,,
Product_5579,Product,The Holy Quran Colour Coded Tajweed Rules (Ref.123),Holy Quran,52b5c8_2f85b54586a94d318d41e60a5765fd05~mv2.jpg,Quran,9788172319694,,65.0,,true,PERCENT,0.0,10,,,,,,,,,,,,,,,,,,,,,Publisher,IBS BOOK STORE PRIVATE LIMITED,Author,Islamic Book Service,Language,Arabic/English,,,,,,,,,,,,,
Product_5580,Product,The Holy Quran Colour Coded Tajweed Rules (Ref.23),Holy Quran,52b5c8_6d75eac9fad84dbe9402d3f9120ca0fa~mv2.webp,Quran,9788172316860,,95.0,,true,PERCENT,0.0,21,,,,,,,,,,,,,,,,,,,,,Publisher,IBS BOOK STORE PRIVATE LIMITED,Author,Islamic Book Service,Language,Arabic/English,,,,,,,,,,,,,
Product_5581,Product,The Holy Quran Colour Coded Tajweed Rules (Ref.126),Holy Quran,52b5c8_0dbbcaa4cc6c4e09b2e6697558adb9ec~mv2.jpg,Quran,9789351690955,,108.0,,true,PERCENT,0.0,12,,,,,,,,,,,,,,,,,,,,,Publisher,IBS BOOK STORE PRIVATE LIMITED,Author,Islamic Book Service,Language,Arabic/English,,,,,,,,,,,,,
Product_5582,Product,The Holy Quran Colour Coded Tajweed Rules,Holy Quran,52b5c8_7df5c8f5b0974b1e9df88165a26d057c~mv2.jpg,Quran,9788172317805,,160.0,,true,PERCENT,0.0,19,,,,,,,,,,,,,,,,,,,,,Publisher,IBS BOOK STORE PRIVATE LIMITED,Author,Abdulla Yusuf Ali,Language,Arabic/English,,,,,,,,,,,,,
Product_5583,Product,Holy Quran No 123 CC,Holy Quran,52b5c8_276d44f4dae24f08b60fe03a7e05418c~mv2.jpg,Quran,9789351690986,,65.0,,true,PERCENT,0.0,29,,,,,,,,,,,,,,,,,,,,,Publisher,IBS BOOK STORE PRIVATE LIMITED,Author,IBS BOOK STORE PRIVATE LIMITED,Language,Arabic,,,,,,,,,,,,,
Product_5584,Product,Holy Quran No 3 With Slip Box,Holy Quran,52b5c8_c4932a2b536e4bdc96b9603cebcdf880~mv2.jpg,Quran,9788172319908,,130.0,,true,PERCENT,0.0,8,,,,,,,,,,,,,,,,,,,,,Publisher,IBS BOOK STORE PRIVATE LIMITED,Author,IBS BOOK STORE PRIVATE LIMITED,Language,English,,,,,,,,,,,,,
Product_5585,Product,The Quran; Translation & Study -Juz 30,Holy Quran,52b5c8_17e32c6b419242b9841ec016ba7102a6~mv2.jpg,Quran,9781897940358,,55.0,,true,PERCENT,0.0,6,,,,,,,,,,,,,,,,,,,,,Publisher,TA HA PUBLISHERS LTD,Author,Jamal-Un-Nisa Bint Rafai,Language,English,,,,,,,,,,,,,
Product_5586,Product,The Easy Quran,Holy Quran,52b5c8_800775da957742cbac51674e7d672413~mv2.jpg,Quran,9781915357007,,105.0,,true,PERCENT,0.0,188,,,,,,,,,,,,,,,,,,,,,Publisher,TA HA PUBLISHERS LTD,Author,Sheikh Dr. Saalim Al-Azhari,Language,English,,,,,,,,,,,,,
Product_5587,Product,The Clear Quran Series Paperback,Holy Quran,52b5c8_46fcd13c9ad34d92a911d4d6cec823d9~mv2.jpg,Quran,9780977300969,,45.0,,true,PERCENT,0.0,375,,,,,,,,,,,,,,,,,,,,,Publisher,BSF BOOKS PUBLISHING LLC,Author,Dr. Musthafa Khattab,Language,English,,,,,,,,,,,,,
Product_5590,Product,The Quran (Filipino),Holy Quran,52b5c8_e33dd0ccd0bc4349b2ade3d772f3f917~mv2.avif,Quran,9789386589095,,25.0,,true,PERCENT,0.0,247,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Maulana Wahiduddin Khan,Language,Filipino,,,,,,,,,,,,,
Product_5591,Product,The Quran (Russian),Holy Quran,52b5c8_08e64fd0e7444a258120fe4257e05557~mv2.jpg,Quran,9789351791379,,25.0,,true,PERCENT,0.0,39,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Maulana Wahiduddin Khan,Language,Russia,,,,,,,,,,,,,
Product_5592,Product,The Quran (Korean),Holy Quran,52b5c8_485dc4ff54b44a7c80966854019ae353~mv2.avif,Quran,9788194366348,,25.0,,true,PERCENT,0.0,47,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Maulana Wahiduddin Khan,Language,Korean,,,,,,,,,,,,,
Product_5595,Product,The Noble Quran,Holy Quran,52b5c8_8bf108ea33bf4902bb385e19a361a290~mv2.jpg,Quran,9781842001288,,160.0,,true,PERCENT,0.0,38,,,,,,,,,,,,,,,,,,,,,Publisher,TA HA PUBLISHERS LTD,Author,Abdalhaqq and Aisha Bewley,Language,English,,,,,,,,,,,,,
Product_5596,Product,The Quran (Medium Size),Holy Quran,52b5c8_ec6599d3235c463da8d1d3dfeb16b67d~mv2.jpg,Quran,9789386589101,,25.0,,true,PERCENT,0.0,9,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Abdullah Yusuf Ali,Language,English,,,,,,,,,,,,,
Product_5597,Product,The Majestic Quran English text,Holy Quran,52b5c8_e83f201a97fa40aa83ad1de16d9a6436~mv2.jpg;52b5c8_bf24d068df184bed9b25d962cfca1ea9~mv2.jpg,Quran,9781902248844,,60.0,,true,PERCENT,0.0,48,,,,,,,,,,,,,,,,,,,,,Publisher,INVITATION PUBLISHING LTD,Author,Musharraf Hussain,Language,English,,,,,,,,,,,,,
Product_5598,Product,The Quran Medium (Tamil),Holy Quran,52b5c8_450be126c909425eb2a95a68ccf705d7~mv2.avif,Quran,9789389766509,,30.0,,true,PERCENT,0.0,47,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Dr.Habibullah,Language,Tamil,,,,,,,,,,,,,
