title,author,isbn,categoryName,price,stock,language,ribbon,description,publisher,coverImage,sortOrder
The Quran 14x20 Meaning & Note (HB),Saheeh International,1122000502014,Quran,70.0,200,English,,Holy Quran,DAR AL RESALAH BOOKS TRADING,https://static.wixstatic.com/media/52b5c8_29991f67fb52430f8ffe1a4f53bfadac~mv2.jpg,0
The Qura'n In Plain English,Iman Torres - Al Haneef,9780860372332,Quran,60.0,15,English,,Holy Quran,KUBE PUBLISHING,https://static.wixstatic.com/media/52b5c8_e9ca23194c494689a499d49dcfd9991e~mv2.jpg,1
The Glorious Quran,Abdul Majid Darya badi,9780860373605,Quran,160.0,50,English,,Holy Quran,KUBE PUBLISHING,https://static.wixstatic.com/media/52b5c8_45ea1b7dff02431ca6088fc68b007dfc~mv2.jpg,2
The Quran; Translation & Study -Juz 5,Jamal-Un-Nisa Bint Rafai,9781842000083,Quran,50.0,8,English,,Holy Quran,TA HA PUBLISHERS LTD,https://static.wixstatic.com/media/52b5c8_ec4b280ca5da44838042f4c22691f53c~mv2.jpg,3
Holy Quran White Paper (14x20),Dar Al Resalah,9786333569070,Quran,36.0,7,Arabic,,Holy Quran,DAR AL RESALAH BOOKS TRADING,,4
Holy Quran 17x24 Urdu,Dar Al Resalah,9786333569568,Quran,50.0,35,Urdu,,Holy Quran,DAR AL RESALAH BOOKS TRADING,,5
Holy Quran 14x20 Urdu,Dar Al Resalah,9786333569667,Quran,40.0,12,Urdu,,Holy Quran,DAR AL RESALAH BOOKS TRADING L.L.C,,6
Holy Quran PU Cover 14x20 Arabic (Premium),Dar Al Resalah,9786333570243,Quran,60.0,12,Arabic,,Holy Quran,GOOD WORD BOOKS,,7
Holy Quran PU Cover 17x24  Arabic(PUGW),Masar Printing,9786333570250,Quran,90.0,29,Arabic,,Holy Quran,GOOD WORD BOOKS,,8
The Quran Pocket Size 9786333571080,Maulana Wahiduddin Khan,9788178986531,Quran,25.0,222,English,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/f18b65_4462fee0e1564a8b8c6b3540504233ca~mv2.jpg,9
"The Quran Transation , Commentry",Maulana Wahiduddin Khan,9788178987460,Quran,80.0,131,English,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_e3d18c6abe3642d8b69bb02a0b9e3df1~mv2.jpg,10
The Qur'an (English)-Wahiduddin Khan,Wahiduddin Khan,9788178989983,Quran,30.0,379,English,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/f18b65_c5e3cb8e2386467aa1ab005ba0ee8c6a~mv2.jpg,11
The Quran (Spanish),Julio Cortes,9789351790709,Quran,25.0,32,Spanish,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_7b9d3d2f9ee94e528aa9eabb071cbdb8~mv2.avif,12
The Quran (French),Moulana Wahiduddin Khan,9789351790723,Quran,25.0,7,French,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_5d9cc390c8424abe9942cb35c8b123ee~mv2.avif,13
The Quran (Marathi),Maulana Wahiduddin Khan,9789351790761,Quran,20.0,24,Marathi,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/f18b65_9d3a2786c8ec46888906d31335b92bee~mv2.jpg,14
The Quran ( Portuguese),Alcorao Sagrado,9789351791485,Quran,25.0,24,Portuguese,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/f18b65_6d30369048654b2e9c7460f28051583e~mv2.jpg,15
The Holy Quraan - Text & Transalation,Abdulla Yousef Ali,9789839154849,Quran,96.0,7,English,,Holy Quran,THE OTHER PRESS .SDN.BHD,https://static.wixstatic.com/media/52b5c8_7a6bd911e97d49d29b154f87617de66d~mv2.jpg,16
The Quran German,Maulana Wahiduddin Khan,9788178987958,Quran,25.0,8,German,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/f18b65_3324ea27939b4c3db96f24b466a57771~mv2.jpg,17
The Quran (Chinese),Maulana Wahiduddin Khan,9789351790648,Quran,25.0,17,Chinese,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_17c1c087fabc491f90817bf9996501dd~mv2.jpg,18
The Quran Juz 4,Jamal Un Nisa Bint Rafai,9780907461869,Quran,50.0,12,English,,Holy Quran,TA HA PUBLISHERS LTD,https://static.wixstatic.com/media/52b5c8_df101f7aa4004c778a8d6a506414875b~mv2.jpg,19
The Quran (Pocket Urdu),Moulana Wahiduddin Khan,9788178987293,Quran,25.0,35,Urdu,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_6a3e7e66ea6345e0bc67928e48d1d741~mv2.jpg,20
Surat Yaseen,Islamic Book Service,9788172319595,Quran,20.0,279,Urdu,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://static.wixstatic.com/media/52b5c8_610bffae626a405189b333c24c355597~mv2.jpg,21
The Holy Quran Colour Coded Tajweed Rules (Ref.347),Islamic Book Service,9789351690948,Quran,55.0,27,Arabic/English,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://static.wixstatic.com/media/52b5c8_4462d724d69248f389c7d85631404bbb~mv2.jpg,22
The Holy Quran Colour Coded Tajweed Rules (Ref.123),Islamic Book Service,9788172319694,Quran,65.0,10,Arabic/English,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://static.wixstatic.com/media/52b5c8_2f85b54586a94d318d41e60a5765fd05~mv2.jpg,23
The Holy Quran Colour Coded Tajweed Rules (Ref.23),Islamic Book Service,9788172316860,Quran,95.0,21,Arabic/English,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://static.wixstatic.com/media/52b5c8_6d75eac9fad84dbe9402d3f9120ca0fa~mv2.webp,24
The Holy Quran Colour Coded Tajweed Rules (Ref.126),Islamic Book Service,9789351690955,Quran,108.0,12,Arabic/English,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://static.wixstatic.com/media/52b5c8_0dbbcaa4cc6c4e09b2e6697558adb9ec~mv2.jpg,25
The Holy Quran Colour Coded Tajweed Rules,Abdulla Yusuf Ali,9788172317805,Quran,160.0,19,Arabic/English,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://static.wixstatic.com/media/52b5c8_7df5c8f5b0974b1e9df88165a26d057c~mv2.jpg,26
Holy Quran No 123 CC,IBS BOOK STORE PRIVATE LIMITED,9789351690986,Quran,65.0,29,Arabic,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://static.wixstatic.com/media/52b5c8_276d44f4dae24f08b60fe03a7e05418c~mv2.jpg,27
